"u.cm.s.mean","u.cm.s.sd","v.cm.s.mean","v.cm.s.sd","speed.cm.s.mean","speed.cm.s.sd","speed.cm.s.max","speed.cm.s.min","direction.deg.t.mean","direction.deg.t.sd","latitude","longitude"
-30.4296296296296,41.5674091531299,37.1640740740741,25.0095625187431,60.6077777777778,30.5715608586368,112.66,0,259.62962962963,108.25473809071,10.05,-60.05
-35.7555555555556,22.5312300546991,43.9866666666667,26.6934683021896,56.93,34.4816723057337,123.47,15.43,321.111111111111,6.00925212577332,10.05,-60.15
-41.165,59.4437763773467,20.2916666666667,33.403430612239,68.42,39.4925684148296,144.04,36.01,258.333333333333,97.0395108533976,10.05,-60.25
-40.9385714285714,46.8728117457485,48.1628571428571,31.0839340679853,79.22,22.4141911892146,112.66,51.44,280,90.921211313239,10.05,-60.35
-43.1528571428571,24.7830020472942,18.9028571428571,24.5160700455067,49.09,31.5124065514944,92.08,15.43,288.571428571429,14.638501094228,10.05,-60.45
-32.6357142857143,62.168766503538,47.7371428571429,34.9803900846773,84.3671428571429,26.1906279129804,128.61,51.44,284.285714285714,89.2295061171178,10.05,-60.55
-22.79375,26.7111875638547,44.48,40.7279367089892,58.195,36.8351943507448,112.66,9.77,248.75,125.97477071677,10.05,-60.65
-11.0153846153846,29.4031445640838,35.4,26.9618335182655,47.3661538461538,25.4923447785348,87.45,0,266.153846153846,127.771831894362,10.05,-60.75
-39.7216666666667,42.5529274355283,32.08,24.4623008655434,61.5608333333333,33.4494765438954,128.61,0,235,131.460329308192,10.05,-60.85
-36.6086666666667,54.4257411350111,33.4873333333333,27.6753604871777,65.6066666666667,41.8778647065601,154.33,0,250,117.958830590532,10.05,-60.95
-40.5528,44.9739381494068,21.0504,41.2316510179579,67.082,34.7845197849081,144.04,4.63,255.2,85.3483059781114,10.05,-61.05
-30.67,20.2685898210343,7.9025,9.59451362324671,32.0225,21.7467168020064,61.73,9.77,282.5,9.57427107756338,10.05,-61.95
-60.925,27.9980981496958,11.6275,17.3791587349139,62.76,31.0479124365337,107.52,36.01,277.5,9.57427107756338,10.05,-62.05
-31.19,0,18.01,0,36.01,0,36.01,36.01,300,0,10.05,-62.15
-14.35,16.0796082041821,1.775,2.51022907321224,15.175,14.9128820152243,25.72,4.63,295,35.3553390593274,10.05,-62.35
-39.1366666666667,36.2636985611415,17.5866666666667,42.567953125953,49.73,46.6806983666697,102.89,15.43,263.333333333333,50.3322295684717,10.05,-62.45
-43.6766666666667,31.8307924291348,-4.21,5.76280140209603,44.3266666666667,31.6108517232084,81.8,9.77,260,12.6491106406735,10.05,-62.75
-22.45,11.2429978208661,0.04,7.52361615182487,23.15,10.9177287015203,30.87,15.43,265,21.2132034355964,10.05,-62.95
-1.32,30.2358859635368,31.18,44.0951788747931,43.21,32.7390439689372,66.36,20.06,215,176.776695296637,10.05,-65.05
-28.5086666666667,37.1695381935774,34.546,32.6255913575305,53.5706666666667,38.9972607951355,154.33,0,259.333333333333,121.565189252908,10.15,-60.05
-43.716,19.0903163933969,66.526,32.0546584757972,83.032,26.3718935611382,112.66,45.79,324,18.1659021245849,10.15,-60.15
-46.417,24.4758892926624,31.291,29.9874545805779,62.554,25.1440119666249,102.89,15.43,293,41.1096095821889,10.15,-60.25
-96.68,0,35.19,0,102.89,0,102.89,102.89,290,0,10.15,-60.45
-36.375,4.67397582364308,43.35,5.57200143575,56.585,7.27612877840957,61.73,51.44,320,0,10.15,-60.55
-32.4433333333333,12.0438255273536,30.6933333333333,25.3414173505219,49.3866666666667,10.9954096482729,61.73,40.64,310,30,10.15,-60.65
-3.725,20.2020407384997,30.095,1.54856385079854,33.44,3.63452885529885,36.01,30.87,175,219.20310216783,10.15,-60.75
-38.58,0,66.83,0,77.17,0,77.17,77.17,330,0,10.15,-60.85
-101.32,0,-17.87,0,102.89,0,102.89,102.89,260,0,10.15,-62.05
-36.45,46.4053084247912,18.2988888888889,39.9395760632372,55.2155555555556,46.7975931836006,144.04,4.63,290,58.5234995535981,10.25,-60.05
-35.6714285714286,24.7539184969245,49.9928571428571,37.4428412001928,65.26,38.0322161682259,128.61,20.06,315.714285714286,35.9894164336975,10.25,-60.15
-31.9176923076923,26.3646771754198,43.5730769230769,30.6969024997136,60.7423076923077,28.2925594323096,112.66,20.06,295.384615384615,88.9396222740822,10.25,-60.25
-30.9985714285714,18.785866521201,39.2757142857143,14.0924351540615,52.0314285714286,17.7125543316705,77.17,30.87,324.285714285714,19.0237946242268,10.25,-60.35
-52.785,20.0889036535098,61.52,7.50947401620113,82.31,7.26905771059771,87.45,77.17,320,14.142135623731,10.25,-60.45
-18.3466666666667,16.2379996715523,65.1666666666667,63.0405657758029,73.5633333333333,54.7280406495001,133.24,25.72,326.666666666667,35.1188458428425,10.25,-60.55
-35.46,0,6.25,0,36.01,0,36.01,36.01,280,0,10.25,-60.65
-45.09,0,7.95,0,45.79,0,45.79,45.79,280,0,10.25,-62.05
5.28,0,14.5,0,15.43,0,15.43,15.43,20,0,10.25,-62.15
-30.6338888888889,27.125476008594,38.1483333333333,24.2029736262498,56.3888888888889,22.1241879582157,107.52,30.87,280.555555555556,93.6496739871981,10.35,-60.05
-22.046,29.1304740015599,53.725,30.3364783168163,64.098,30.8346135950421,102.89,4.63,273,130.132411198919,10.35,-60.15
-32.0808333333333,36.7028243793886,39.8358333333333,34.2130927778276,59.3733333333333,39.0597580249763,118.32,9.77,298.333333333333,87.2648355017731,10.35,-60.25
-37.2288888888889,27.4180335436131,39.2938888888889,24.7337602428671,56.4161111111111,33.1023829138502,123.47,9.77,298.888888888889,75.216463223614,10.35,-60.35
-42.37625,24.9671606815833,48.1275,27.1166152280953,66.8125,30.9302328982964,123.47,25.72,317.5,20.528725518857,10.35,-60.45
-106.92,0,61.73,0,123.47,0,123.47,123.47,300,0,10.35,-60.55
-30.115,5.26794551983978,42.415,42.5607571596183,56.59,29.1045151136383,77.17,36.01,315,35.3553390593274,10.35,-60.65
-60.1,28.9206673505298,18.545,6.1447579285111,63.795,25.4629151905276,81.8,45.79,290,14.142135623731,10.35,-60.75
-40.02,0,7.06,0,40.64,0,40.64,40.64,280,0,10.35,-60.85
-4.47,0,25.33,0,25.72,0,25.72,25.72,350,0,10.35,-60.95
-101.905,73.9704403799247,57.62,2.10717820793591,120.64,61.4758635563584,164.11,77.17,305,21.2132034355964,10.35,-61.95
-12.9,0,15.37,0,20.06,0,20.06,20.06,320,0,10.35,-65.35
-39.9925,35.9260798149418,33.17125,44.0931084344599,64.7120833333333,41.0138182418482,154.33,0,272.5,94.971391573417,10.45,-60.05
-38.77,34.883132026812,38.3029411764706,27.8167999518065,61.3088235294118,33.9513839707516,144.04,0,281.176470588235,94.3982489867514,10.45,-60.15
-27.2919047619048,29.4691916446732,32.7161904761905,20.0830608912562,48.3566666666667,26.8770084520829,102.89,9.77,305.238095238095,63.7666878251527,10.45,-60.25
-31.2052941176471,31.82282045122,31.7976470588235,43.7579453541599,54.2582352941176,43.6864488765244,149.19,0,237.647058823529,128.672520947788,10.45,-60.35
-21.8825,29.8608997807214,37.7175,27.4108548623664,53.18,24.1699122286958,102.89,25.72,292.5,82.4187911999269,10.45,-60.45
-23.87,5.89727055509581,32.545,22.6486302014051,40.895,21.4606908090117,56.07,25.72,320,14.142135623731,10.45,-60.55
-42.3533333333333,21.5222218493661,41.1366666666667,30.1763389650457,63.45,23.763737079845,77.17,36.01,310,26.4575131106459,10.45,-60.65
-72.51,0,26.39,0,77.17,0,77.17,77.17,290,0,10.45,-60.75
-10.56,0,29,0,30.87,0,30.87,30.87,340,0,10.45,-60.85
4.56,0,0.8,0,4.63,0,4.63,4.63,80,0,10.45,-62.45
-34.3866666666667,31.6374451138731,26.0773333333333,32.0491444754645,51.7516666666667,34.4095476008034,128.61,0,288.666666666667,71.810734637625,10.55,-60.05
-35.7977777777778,26.965363089266,29.5061111111111,27.9080378762925,55.6722222222222,22.4223634571946,97.74,20.06,288.888888888889,62.5806668970621,10.55,-60.15
-26.275625,28.8626875553311,37.5525,25.7984752779436,50.253125,32.335970624832,102.89,0,264.375,126.067111756662,10.55,-60.25
-23.5794736842105,24.0254285367456,36.0642105263158,31.4618838730631,49.06,31.4010224532755,128.61,0,272.105263157895,108.452700769015,10.55,-60.35
-35.6946666666667,45.6650048672264,54.834,27.7036056962163,73.186,41.2403486198373,154.33,20.06,285.333333333333,114.259520807844,10.55,-60.45
-16.256,26.2432138106428,51.796,36.4243710233196,61.526,32.9250445709645,123.47,9.77,263,135.240526470433,10.55,-60.55
-22.28,0,12.86,0,25.72,0,25.72,25.72,300,0,10.55,-60.65
-39.1133333333333,46.8798382391976,25.9766666666667,26.9254978288858,49.5566666666667,50.4606979077116,107.52,15.43,303.333333333333,35.1188458428425,10.55,-60.75
-41.64,26.9715319055728,25.4,11.7993587396378,50.03,26.4846156601652,81.8,25.72,305,17.3205080756888,10.55,-60.85
-58.01,0,21.11,0,61.73,0,61.73,61.73,290,0,10.55,-60.95
-47.29,0,39.68,0,61.73,0,61.73,61.73,310,0,10.55,-61.75
-101.03,0,36.77,0,107.52,0,107.52,107.52,290,0,10.55,-61.95
-30.87,0,0,0,30.87,0,30.87,30.87,270,0,10.55,-62.15
-8.435,46.0232481107827,10.6175,28.3473824482379,42.44,27.6662935717815,77.17,15.43,175,143.874945699382,10.55,-62.25
-12.31,10.9601551083915,0.4,0.565685424949238,12.345,10.9106576337084,20.06,4.63,275,7.07106781186548,10.55,-64.85
0,0,66.36,0,66.36,0,66.36,66.36,360,0,10.55,-64.95
-13.9,0,38.19,0,40.64,0,40.64,40.64,340,0,10.55,-65.05
58.01,0,-21.11,0,61.73,0,61.73,61.73,110,0,10.55,-65.45
-12.415,3.93858477120907,2.19,0.692964645562817,12.6,4.00222438151586,15.43,9.77,280,0,10.55,-65.55
-7.2,23.9992041534714,4.4,6.22253967444162,17.745,11.2783531599254,25.72,9.77,190,141.42135623731,10.55,-65.65
-33.84,0,-12.32,0,36.01,0,36.01,36.01,250,0,10.55,-67.25
-23.2533333333333,7.01930433400158,5.01,5.3006697690009,24.0066666666667,7.86129972290418,30.87,15.43,280,10,10.55,-67.55
-31.566,30.9545046533349,31.7916,23.0136276077168,53.048,25.4395612187003,102.89,9.77,304.8,48.9148920745683,10.65,-60.05
-27.3723076923077,33.7002853978633,34.6215384615385,26.0411724794135,54.53,26.5051353514748,97.74,15.43,310.769230769231,62.7775886843835,10.65,-60.15
-24.4283333333333,27.2112808030268,43.8527777777778,30.150112243583,55.8727777777778,31.8133754344921,123.47,0,247.777777777778,133.352939734929,10.65,-60.25
-33.2269230769231,30.5531254224003,15.7007692307692,25.2077066461623,48.0792307692308,22.9724390888801,87.45,20.06,291.538461538462,53.5173108825786,10.65,-60.35
-20.18,24.5377736018029,38.0715384615385,31.1281790467934,50.0176923076923,29.5327578444248,102.89,9.77,290.769230769231,97.2506673894442,10.65,-60.45
-25.38,22.7704168981221,32.93375,16.6650814900926,46.7475,16.5640020612687,61.73,9.77,280,111.22692377041,10.65,-60.55
-39.42,34.179056452746,14.6333333333333,16.9326233446957,42.6966666666667,37.0487953020518,66.36,0,193.333333333333,167.729941672122,10.65,-60.65
-76.06,0,90.64,0,118.32,0,118.32,118.32,320,0,10.65,-60.75
-24.38,6.5336666581637,7.02,5.00631601080076,25.465,7.64382430462658,30.87,20.06,285,7.07106781186548,10.65,-60.85
-68.1166666666667,64.6430153483989,14.5766666666667,25.2475272716623,72.02,65.6787385688854,128.61,0,190,165.227116418583,10.65,-60.95
-101.32,0,17.87,0,102.89,0,102.89,102.89,280,0,10.65,-61.55
-40.02,0,7.06,0,40.64,0,40.64,40.64,280,0,10.65,-61.65
-7.65,6.60437733628235,-15.145,26.438722548565,20.32,22.1890107936339,36.01,4.63,260,84.8528137423857,10.65,-61.75
-0.68,30.4806321019321,-34.2746153846154,33.9779986695765,48.9492307692308,27.584059847896,102.89,15.43,209.230769230769,72.8539107233943,10.65,-61.85
0,0,0,0,0,0,0,0,0,0,10.65,-64.45
