"Locality","Site","InsularCoast","Position","Acropora.cervicornis","Acropora.palmata","Madracis.mirabilis","Madracis.sp","Oculina.diffusa","Porites.porites","Porites.sp","Agaricia.sp","Dichocoenia.stokesii","Meandrina.meandrites","Porites.astreoides","Pseudodiploria.clivosa","Pseudodiploria.strigosa","Other.Scleractinian.plate","Agaricia.agaricites.danai","Agaricia.tenuifolia","Other.Scleractinian.foliose","Agaricia.agaricites.agaricites","Agaricia.humilis","Colpophyllia.natans","Diploria.labyrinthiformis","Isophyllia.sp","Meandrina.sp","Montastrea.cavernosa","Orbicella.annularis","Orbicella.faveolata","Orbicella.franksi","Orbicella.sp","Porites.branneri","Siderastrea.radians","Siderastrea.siderea","Siderastrea.sp","Solenastrea.sp","Stephanocoenia.intersepta","Other.Scleractinian.massive","Dendrogyra.cylindrus","Mussa.angulosa","Other.Scleractinian.solitary.other","Madracis.decactis","Other.Scleractinian.encrusting","Eusmilia.fastigata","Other.Scleractinian.flower.cup","Briareum.asbestinum","Eunicea.sp","Gorgonia.sp","Muricea.sp","Plexaura.sp","Plexaurella.sp","Pseudoplexaura.sp","Pseudopterogorgia.sp","Pterogorgia.sp","Other.Octocorals.erect","Erythropodium.caribaeorum","Other.octocoral.encrusting","Millepora.alcicornis","Millepora.complanata","Millepora.sp","Palythoa.caribbaeorum","Zoanthus.sp","Agelas.sp","Aplysina.sp","Callyspongia.sp","Cliona.sp","Desmapsamma.sp","Ircinia.sp","Mycale.sp","Niphates.sp","Other.Sponge.massive","Other.Sponge.encrusting","Aiolochroia.sp","Other.Sponge.erect","Cyanobacteria","Turf","Other.Algae","Acetabularia","Caulerpa.racemosa","Caulerpa.sp","Dictyota.sp","Galaxaura.sp","Lobophora.variegata","Sargassum.sp","Ulva.sp","Ventricaria.sp","Other.clorophyta.Fleshy.algae","Other.Fleshy.algae","Actinaria","Diadema.antillarum","Bivalves","Spirobranchius.sp","Other.polychaete","Tunicates","Other.Other.invertebrates","Biotic.unknown","Dead.calcareous.algae","Dead.coral","Dead.octocoral","Gap","Rock","Rubble","Sand","Trash","Unknown","Artifact","Hydroidolina","Palythoa.sp","Crustose.coraline","Halimeda.sp","Other.Calcareous.algae","Xetospongia.sp","Palythoa.grandis","Palythoa.grandiflora","Eucheuma","Clavelina.sp","Pseudodiploria.sp","latitude","longitude"
"Chichiriviche","La Pared","Continental","Center",0,0,0,0,0,0,0,0.0666666666666667,0,2.73333333333334,0.2,0,3.06666666666667,0,0,0,0,0.133333333333333,0.2,0,0.466666666666666,0.2,0.0666666666666667,1.13333333333333,0,0,0,0,0,0,0.800000000000001,0.0666666666666667,0,0,0.333333333333333,0,0.0666666666666667,0,0,0,0,0,0.133333333333333,0.399999999999999,0,0,1.86666666666667,0,0.400000000000001,0,0,0.599999999999999,0,0,3.13333333333333,0.4,0.400000000000001,0,0,0,0.0666666666666667,0.666666666666668,0,0,0.0666666666666667,0,0,0.333333333333333,0.2,0,0,6.26666666666667,66.6666666666667,0,0,0,0,0.600000000000002,0,0,0,0,0,0,0.866666666666666,0,0.0666666666666667,0,0.8,0.4,0,0,0.399999999999999,0,0,0,0.866666666666667,0,0.266666666666667,0.133333333333333,0,0,0.466666666666668,0,0,4,0,0,0,0,0,0,0,0,10.554,-67.239
"Chichiriviche","Media Legua","Continental","Center",0,0,0,0,0,0,0,0.0666666666666667,0,0.666666666666668,0.0666666666666667,0.0666666666666667,2.4,0,0,0,0,0,0,0.0666666666666667,0.0666666666666667,0,0,0.2,0,0.0666666666666667,0,0,0,0,0.466666666666668,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0.266666666666667,0,5.86666666666667,0.599999999999999,1.06666666666667,0.133333333333333,0,0.2,0.0666666666666667,0,1.13333333333333,0.733333333333333,0.133333333333333,3.53333333333333,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1.2,73.2666666666667,0,0,0,0,0.0666666666666667,0,0,0,0,0,0.0666666666666667,1.86666666666667,0,0,0,0,0,0,0,0.333333333333332,0,0,0.0666666666666667,0.0666666666666667,0,0,3.53333333333333,0,0,0.133333333333333,0,0,0.866666666666667,0,0.0666666666666667,0,0,0,0,0,0,10.555,-67.21
"Chichiriviche","Petaquire","Continental","Center",0,0,0,0,0,0,0,0.088888888888889,0,0,0,0,4.71111111111111,0,0,0,0,0,0,0.088888888888889,0.088888888888889,0,0,0.088888888888889,0,0.088888888888889,0,0,0,0.088888888888889,0.444444444444445,0.177777777777778,0,0,0.088888888888889,0,0,0,0,0,0,0,0,1.15555555555556,0,0,0.977777777777779,0.177777777777778,0.88888888888889,0,0,0.533333333333332,0,0,6.75555555555556,0,2.93333333333333,5.77777777777778,0,0,0,0.177777777777778,0,0,0.088888888888889,0,0,0.266666666666667,0.711111111111111,0,0,4.35555555555556,60.4444444444444,0,0,0,0,0.622222222222223,0,0,0,0,0,0,1.06666666666667,0,0,0,0,0,0,0,0.177777777777778,0,0,0,0,0,5.59999999999999,0.177777777777778,0,0,0.177777777777778,0.622222222222223,0,0.355555555555556,0,0,0,0,0,0,0,0,10.548,-67.277
"Chichiriviche","Playa Tiburon","Continental","Center",0,0,0,0,0,0,0,0.143589743589744,0,0.758974358974359,0.266666666666667,0,3.12820512820513,0,0,0,0,0,0.2,0,0.994871794871795,0,0,0.661538461538463,0,0,0,0,0,0,1.55384615384615,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0.799999999999999,0,0.353846153846154,0,0,0.41025641025641,0,0,1.89230769230769,0.533333333333334,2.66666666666667,0.0666666666666667,0,0,0,0.133333333333333,0,0,0,0,0,0.287179487179487,0.21025641025641,0,0,0.533333333333333,80.8410256410256,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0.399999999999999,0,0,0,0.133333333333333,0,0,0.133333333333333,0,0,0.333333333333333,1.53333333333333,0,0,0.230769230769231,0,0,0.600000000000002,0,0,0,0,0,0,0,0,10.547,-67.267
"Chichiriviche","Punta de Media Legua","Continental","Center",0,0,0,0,0,0,0,0,0,0.133333333333333,0.133333333333333,0.0666666666666667,1.8,0,0,0,0,0,0,0.0666666666666667,0.933333333333334,0,0,0.800000000000001,0,0,0,0,0.133333333333333,0,1.73333333333333,0,0,0,0.0666666666666667,0,0,0,0,0.0666666666666667,0,0,0,0.866666666666665,0,0,5.06666666666667,0.533333333333333,1,1.93333333333333,0,1,0,0,2.13333333333333,1.4,0.466666666666666,2.2,0,0,0,0.2,0,0,0,0,0,0.2,0.333333333333333,0,0,1.93333333333333,66.4,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0.0666666666666667,0,1.66666666666667,5.33333333333334,0,0,0,0,0.2,0.666666666666668,0,0,0,0,0,0,0,0,10.557,-67.203
"Chichiriviche","Punta Mono","Continental","Center",0,0,0,0,0,0,0,0,0,0.866666666666666,0.0666666666666667,0.0666666666666667,5.86666666666667,0,0,0,0,0.0666666666666667,0,0,0.533333333333334,0,0,0.133333333333333,0,0,0,0,0,0,0.866666666666667,0,0,0,0.0666666666666667,0,0,0,0,0,0,0.133333333333333,0,0.133333333333333,0,0,5.46666666666667,0.733333333333333,2.33333333333333,0,0,0.4,0,0,4.60000000000001,0.533333333333334,0.333333333333333,0.800000000000001,0,0,0,0,0,0,0,0,0,0.466666666666668,0.2,0,0.0666666666666667,2.8,63.9333333333333,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0.0666666666666667,0,0,0,0.0666666666666667,0,0,0,0.2,0,0,0,0.0666666666666667,0,0,5.8,0,0,0,0.599999999999999,0.933333333333333,0.600000000000002,0,0,0,0,0,0,0,0.133333333333333,10.551,-67.252
"Cubagua","Charagato","Insular","East",0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,3.39999999999999,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.9333333333334,0.333333333333332,0.2,0,0,7.93333333333332,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0.466666666666667,0.133333333333333,0,0.0666666666666667,0.0666666666666667,7.53333333333332,0,0,0,0,0,0,0,0,0,0,0,0.866666666666668,0,0,0,0.0666666666666667,0.0666666666666667,0,0,1,0,0.0666666666666667,0.666666666666668,0,0,0.933333333333332,32.6666666666667,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0.933333333333332,0,0,10.816,-64.227
"Cubagua","La Muerta","Insular","East",0,0,0,0,0,0,0,0,0,0,0.466666666666668,0,3.12380952380953,0,0,0,0,0,0,0.785714285714285,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4761904761905,0,0,0,0,0,0,0,0.980952380952382,0,0,0,0,0,0,0,0,0,0.2,0.0714285714285715,0.142857142857143,0,0.285714285714285,20.2428571428572,0,0,0,0,0,0,0,0,13.9285714285714,0,2.75238095238095,0.0714285714285715,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0.495238095238094,35.5666666666667,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,10.8,-64.217
"Cubagua","Punta Conejo","Insular","East",0,0,0,0,0.0666666666666667,0,0,0,0,0,0.0710227272727273,0,4.36117424242423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710227272727273,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53333333333333,0,0,0,0,0,0,0,0.733333333333333,0.28409090909091,0.337689393939395,0,0,0,0,0.0666666666666667,0,0,4.14943181818182,4.47840909090909,0,0,0.417424242424243,31.4342803030303,0,0,0,0,0.542045454545455,0,0,0.0666666666666667,14.1698863636364,0,11.7464015151515,4.74981060606061,0.2,0,0,0,0,0.0666666666666667,0,1.51893939393939,0,0,0,0.0710227272727273,0,0.133333333333333,17.9886363636364,0,0,0.40435606060606,0.0666666666666667,0,0,0,0.0710227272727273,0,0,0.133333333333333,0,0,0,10.83,-64.165
"Los Frailes","Cominoto","Insular","East",0,0,0,0,0,0,0,0,0,0,0.333333333333334,0,5.93809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,15.1285714285714,0.204761904761905,3.37619047619047,2.86666666666667,0,0.676190476190478,0,0,4.89047619047619,0.466666666666668,0,0.2,0,0,0,0,0,0.0714285714285715,0,0,0,0.2,0.599999999999999,0,0,3.95714285714286,29.6714285714286,0,0,0.333333333333332,0.0714285714285715,1.23809523809524,0,0,0,0,0,0.480952380952381,0.485714285714285,0,0,0,0,0,0.599999999999999,0,1.14285714285714,0,0,0.2,0.0666666666666667,0,0.666666666666668,24.9,0,0,0.133333333333333,0.0666666666666667,0,0,0,0,0.0666666666666667,0,0,0,0.566666666666667,0,11.215,-63.768
