"latitude","longitude","clave"
11.53,-73,"11.53_-73"
11.52,-73,"11.52_-73"
11.5,-73,"11.5_-73"
11.48,-73,"11.48_-73"
11.46,-73,"11.46_-73"
11.45,-73,"11.45_-73"
11.43,-73,"11.43_-73"
11.41,-73,"11.41_-73"
11.4,-73,"11.4_-73"
11.38,-73,"11.38_-73"
11.36,-73,"11.36_-73"
11.35,-73,"11.35_-73"
11.33,-73,"11.33_-73"
11.31,-73,"11.31_-73"
11.29,-73,"11.29_-73"
11.28,-73,"11.28_-73"
11.26,-73,"11.26_-73"
11.24,-73,"11.24_-73"
11.23,-73,"11.23_-73"
11.21,-73,"11.21_-73"
11.19,-73,"11.19_-73"
11.18,-73,"11.18_-73"
11.16,-73,"11.16_-73"
11.14,-73,"11.14_-73"
11.12,-73,"11.12_-73"
11.11,-73,"11.11_-73"
11.09,-73,"11.09_-73"
11.07,-73,"11.07_-73"
11.06,-73,"11.06_-73"
11.04,-73,"11.04_-73"
11.02,-73,"11.02_-73"
11.01,-73,"11.01_-73"
10.99,-73,"10.99_-73"
10.97,-73,"10.97_-73"
10.96,-73,"10.96_-73"
10.94,-73,"10.94_-73"
10.92,-73,"10.92_-73"
10.9,-73,"10.9_-73"
10.89,-73,"10.89_-73"
10.87,-73,"10.87_-73"
10.85,-73,"10.85_-73"
10.84,-73,"10.84_-73"
10.82,-73,"10.82_-73"
10.8,-73,"10.8_-73"
10.79,-73,"10.79_-73"
10.77,-73,"10.77_-73"
10.75,-73,"10.75_-73"
10.73,-73,"10.73_-73"
10.72,-73,"10.72_-73"
10.7,-73,"10.7_-73"
10.68,-73,"10.68_-73"
10.67,-73,"10.67_-73"
10.65,-73,"10.65_-73"
10.63,-73,"10.63_-73"
10.62,-73,"10.62_-73"
10.6,-73,"10.6_-73"
10.58,-73,"10.58_-73"
10.56,-73,"10.56_-73"
10.55,-73,"10.55_-73"
10.53,-73,"10.53_-73"
10.51,-73,"10.51_-73"
10.5,-73,"10.5_-73"
10.48,-73,"10.48_-73"
10.46,-73,"10.46_-73"
10.45,-73,"10.45_-73"
10.43,-73,"10.43_-73"
10.41,-73,"10.41_-73"
10.39,-73,"10.39_-73"
10.38,-73,"10.38_-73"
10.36,-73,"10.36_-73"
10.34,-73,"10.34_-73"
10.33,-73,"10.33_-73"
10.31,-73,"10.31_-73"
10.29,-73,"10.29_-73"
10.28,-73,"10.28_-73"
10.26,-73,"10.26_-73"
10.24,-73,"10.24_-73"
10.22,-73,"10.22_-73"
10.21,-73,"10.21_-73"
10.19,-73,"10.19_-73"
10.17,-73,"10.17_-73"
10.16,-73,"10.16_-73"
10.14,-73,"10.14_-73"
10.12,-73,"10.12_-73"
10.11,-73,"10.11_-73"
10.09,-73,"10.09_-73"
10.07,-73,"10.07_-73"
10.05,-73,"10.05_-73"
10.04,-73,"10.04_-73"
10.02,-73,"10.02_-73"
10,-73,"10_-73"
9.99,-73,"9.99_-73"
9.97,-73,"9.97_-73"
9.95,-73,"9.95_-73"
9.94,-73,"9.94_-73"
9.92,-73,"9.92_-73"
9.9,-73,"9.9_-73"
9.88,-73,"9.88_-73"
9.87,-73,"9.87_-73"
9.85,-73,"9.85_-73"
9.83,-73,"9.83_-73"
9.82,-73,"9.82_-73"
9.8,-73,"9.8_-73"
9.78,-73,"9.78_-73"
9.77,-73,"9.77_-73"
9.75,-73,"9.75_-73"
9.73,-73,"9.73_-73"
9.71,-73,"9.71_-73"
9.7,-73,"9.7_-73"
9.68,-73,"9.68_-73"
9.66,-73,"9.66_-73"
9.65,-73,"9.65_-73"
9.63,-73,"9.63_-73"
9.61,-73,"9.61_-73"
9.6,-73,"9.6_-73"
9.58,-73,"9.58_-73"
9.56,-73,"9.56_-73"
9.54,-73,"9.54_-73"
9.53,-73,"9.53_-73"
9.51,-73,"9.51_-73"
9.49,-73,"9.49_-73"
9.48,-73,"9.48_-73"
9.46,-73,"9.46_-73"
9.44,-73,"9.44_-73"
9.43,-73,"9.43_-73"
9.41,-73,"9.41_-73"
9.39,-73,"9.39_-73"
9.38,-73,"9.38_-73"
9.36,-73,"9.36_-73"
9.34,-73,"9.34_-73"
9.32,-73,"9.32_-73"
9.31,-73,"9.31_-73"
9.29,-73,"9.29_-73"
9.27,-73,"9.27_-73"
9.26,-73,"9.26_-73"
9.24,-73,"9.24_-73"
9.22,-73,"9.22_-73"
9.21,-73,"9.21_-73"
9.19,-73,"9.19_-73"
9.17,-73,"9.17_-73"
9.15,-73,"9.15_-73"
9.14,-73,"9.14_-73"
9.12,-73,"9.12_-73"
9.1,-73,"9.1_-73"
9.09,-73,"9.09_-73"
9.07,-73,"9.07_-73"
9.05,-73,"9.05_-73"
9.04,-73,"9.04_-73"
9.02,-73,"9.02_-73"
9,-73,"9_-73"
8.98,-73,"8.98_-73"
8.97,-73,"8.97_-73"
8.95,-73,"8.95_-73"
8.93,-73,"8.93_-73"
8.92,-73,"8.92_-73"
8.9,-73,"8.9_-73"
8.88,-73,"8.88_-73"
8.87,-73,"8.87_-73"
8.85,-73,"8.85_-73"
8.83,-73,"8.83_-73"
8.81,-73,"8.81_-73"
8.8,-73,"8.8_-73"
8.78,-73,"8.78_-73"
8.76,-73,"8.76_-73"
8.75,-73,"8.75_-73"
8.73,-73,"8.73_-73"
8.71,-73,"8.71_-73"
8.7,-73,"8.7_-73"
8.68,-73,"8.68_-73"
8.66,-73,"8.66_-73"
8.64,-73,"8.64_-73"
8.63,-73,"8.63_-73"
8.61,-73,"8.61_-73"
8.59,-73,"8.59_-73"
8.58,-73,"8.58_-73"
8.56,-73,"8.56_-73"
8.54,-73,"8.54_-73"
8.53,-73,"8.53_-73"
8.51,-73,"8.51_-73"
8.49,-73,"8.49_-73"
8.47,-73,"8.47_-73"
8.46,-73,"8.46_-73"
8.44,-73,"8.44_-73"
8.43,-73,"8.43_-73"
8.41,-73,"8.41_-73"
8.39,-73,"8.39_-73"
8.37,-73,"8.37_-73"
8.36,-73,"8.36_-73"
8.34,-73,"8.34_-73"
8.32,-73,"8.32_-73"
8.31,-73,"8.31_-73"
8.29,-73,"8.29_-73"
8.27,-73,"8.27_-73"
8.26,-73,"8.26_-73"
8.24,-73,"8.24_-73"
8.22,-73,"8.22_-73"
8.2,-73,"8.2_-73"
8.19,-73,"8.19_-73"
8.17,-73,"8.17_-73"
