"latitude","longitude"
9.81,-72.14
9.8,-72.14
9.83,-72.12
9.82,-72.12
9.8,-72.12
9.78,-72.12
9.77,-72.12
9.83,-72.11
9.77,-72.11
9.76,-72.11
9.85,-72.1
9.76,-72.1
9.87,-72.08
9.86,-72.08
9.74,-72.08
9.73,-72.08
9.88,-72.07
9.87,-72.07
9.73,-72.07
9.91,-72.06
9.9,-72.06
9.73,-72.06
9.72,-72.06
9.71,-72.06
9.94,-72.05
9.92,-72.05
9.91,-72.05
9.71,-72.05
9.69,-72.05
9.97,-72.03
9.96,-72.03
9.95,-72.03
9.94,-72.03
9.69,-72.03
10.01,-72.02
10,-72.02
9.99,-72.02
9.97,-72.02
9.68,-72.02
10.04,-72.01
10.02,-72.01
10.01,-72.01
9.67,-72.01
10.06,-72
10.05,-72
10.04,-72
9.65,-72
9.64,-72
11.53,-71.98
11.51,-71.98
11.5,-71.98
10.07,-71.98
10.06,-71.98
9.64,-71.98
9.63,-71.98
9.62,-71.98
9.6,-71.98
9.59,-71.98
9.58,-71.98
9.57,-71.98
11.59,-71.97
11.58,-71.97
11.56,-71.97
11.55,-71.97
11.54,-71.97
11.53,-71.97
11.49,-71.97
11.47,-71.97
11.46,-71.97
11.45,-71.97
11.44,-71.97
11.42,-71.97
11.41,-71.97
10.09,-71.97
10.07,-71.97
9.57,-71.97
9.55,-71.97
9.52,-71.97
9.5,-71.97
9.49,-71.97
11.6,-71.96
11.59,-71.96
11.41,-71.96
11.4,-71.96
11.39,-71.96
10.09,-71.96
9.55,-71.96
9.54,-71.96
9.53,-71.96
9.52,-71.96
9.49,-71.96
11.62,-71.94
11.6,-71.94
11.39,-71.94
11.37,-71.94
11.36,-71.94
10.1,-71.94
10.09,-71.94
9.49,-71.94
11.62,-71.93
11.36,-71.93
11.35,-71.93
11.34,-71.93
10.1,-71.93
9.49,-71.93
11.62,-71.92
11.34,-71.92
11.32,-71.92
11.31,-71.92
11.3,-71.92
10.11,-71.92
9.49,-71.92
11.63,-71.91
11.62,-71.91
11.3,-71.91
11.28,-71.91
11.27,-71.91
11.26,-71.91
10.13,-71.91
10.11,-71.91
9.49,-71.91
9.48,-71.91
11.63,-71.89
11.26,-71.89
11.25,-71.89
11.23,-71.89
10.14,-71.89
10.13,-71.89
9.48,-71.89
9.46,-71.89
11.64,-71.88
11.63,-71.88
11.23,-71.88
11.22,-71.88
11.21,-71.88
10.16,-71.88
10.15,-71.88
10.14,-71.88
9.46,-71.88
11.64,-71.87
11.21,-71.87
11.2,-71.87
10.19,-71.87
10.18,-71.87
10.16,-71.87
9.46,-71.87
9.45,-71.87
11.64,-71.86
11.2,-71.86
11.18,-71.86
10.2,-71.86
10.19,-71.86
9.45,-71.86
11.64,-71.84
11.18,-71.84
11.17,-71.84
10.23,-71.84
10.21,-71.84
10.2,-71.84
