"Locality","Site","InsularCoast","Position","Acropora.cervicornis","Acropora.palmata","Madracis.mirabilis","Madracis.sp","Oculina.diffusa","Porites.porites","Porites.sp","Agaricia.sp","Dichocoenia.stokesii","Meandrina.meandrites","Porites.astreoides","Pseudodiploria.clivosa","Pseudodiploria.strigosa","Other.Scleractinian.plate","Agaricia.agaricites.danai","Agaricia.tenuifolia","Other.Scleractinian.foliose","Agaricia.agaricites.agaricites","Agaricia.humilis","Colpophyllia.natans","Diploria.labyrinthiformis","Isophyllia.sp","Meandrina.sp","Montastrea.cavernosa","Orbicella.annularis","Orbicella.faveolata","Orbicella.franksi","Orbicella.sp","Porites.branneri","Siderastrea.radians","Siderastrea.siderea","Siderastrea.sp","Solenastrea.sp","Stephanocoenia.intersepta","Other.Scleractinian.massive","Dendrogyra.cylindrus","Mussa.angulosa","Other.Scleractinian.solitary.other","Madracis.decactis","Other.Scleractinian.encrusting","Eusmilia.fastigata","Other.Scleractinian.flower.cup","Pseudodiploria.sp","latitude","longitude"
"Chichiriviche","La Pared","Continental","Center",0,0,0,0,0,0,0,0.595238095238095,0,26.1639676113361,1.95681511470985,0,34.5370638133796,0,0,0,0,2.08333333333333,1.97368421052632,0,5.05952380952381,1.92307692307692,0.64102564102564,10.5817428185849,0,0,0,0,0,0,8.79060632350107,0.657894736842105,0,0,4.44078947368421,0,0.595238095238095,0,0,0,0,0,0,10.554,-67.239
"Chichiriviche","Media Legua","Continental","Center",0,0,0,0,0,0,0,1.47058823529412,0,16.6666666666667,1.25,2.27272727272727,57.2994652406417,0,0,0,0,0,0,1.47058823529412,1.25,0,0,4.16666666666667,0,1.47058823529412,0,0,0,0,11.2121212121212,0,0,0,1.47058823529412,0,0,0,0,0,0,0,0,10.555,-67.21
"Chichiriviche","Petaquire","Continental","Center",0,0,0,0,0,0,0,0.8130081300813,0,0,0,0,78.4756097560976,0,0,0,0,0,0,0.8130081300813,2.08333333333333,0,0,2.08333333333333,0,0.8130081300813,0,0,0,0.8130081300813,7.85569105691057,4.16666666666667,0,0,2.08333333333333,0,0,0,0,0,0,0,0,10.548,-67.277
"Chichiriviche","Playa Tiburon","Continental","Center",0,0,0,0,0,0,0,1.61458333333333,0,8.28125,2.7027027027027,0,40.5866683991684,0,0,0,0,0,2.13260135135135,0,12.1806782744283,0,0,9.52182952182952,0,0,0,0,0,0,21.0566094941095,0,0,0,1.92307692307692,0,0,0,0,0,0,0,0,10.547,-67.267
"Chichiriviche","Punta de Media Legua","Continental","Center",0,0,0,0,0,0,0,0,0,1.66666666666667,1.02040816326531,0.833333333333332,34.8724489795918,0,0,0,0,0,0,0.510204081632653,7.46598639455783,0,0,19.3537414965986,0,0,0,0,1.02040816326531,0,24.9234693877551,0,0,0,4.16666666666667,0,0,0,0,4.16666666666667,0,0,0,10.557,-67.203
"Chichiriviche","Punta Mono","Continental","Center",0,0,0,0,0,0,0,0,0,12.4981123527635,0.5,0.5,63.5940048323769,0,0,0,0,0.5,0,0,6.88402295379039,0,0,1.16279069767442,0,0,0,0,0,0,10.9939595288433,0,0,0,0.58139534883721,0,0,0,0,0,0,1.78571428571428,1,10.551,-67.252
"Cubagua","Charagato","Insular","East",0,0,0,0,6.25,0,0,0,0,0,0,0,2.27272727272727,0,0,0,0,0,0,65.3409090909091,0,0,0,0,0,0,0,0,0,0,1.13636363636364,0,0,0,0,0,0,0,0,0,0,0,0,10.816,-64.227
"Cubagua","La Muerta","Insular","East",0,0,0,0,0,0,0,0,0,0,4.72972972972973,0,56.2867215041128,0,0,0,0,0,0,11.9565217391304,0,0,0,0,0,2.02702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,-64.217
"Cubagua","Punta Conejo","Insular","East",0,0,0,0,25,0,0,0,0,0,0.64102564102564,0,72.7179487179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64102564102564,0,0,0,1,0,0,0,0,0,0,0,0,10.83,-64.165
"Los Frailes","Cominoto","Insular","East",0,0,0,0,0,0,0,0,0,0,9.2548076923077,0,90.7451923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.215,-63.768
"Los Frailes","La Pecha","Insular","East",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.202,-63.753
"Los Frailes","Puerto Real","Insular","East",0,0,0,0,0,0,7.14285714285715,0.416666666666668,0,0,15.2994227994228,0,73.4794372294372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66161616161616,0,0,0,0,0,0,0,0,11.188,-63.73
"Los Roques","Cayo de Agua","Insular","West",0.392419045404337,0.242718446601942,34.3037940940632,0.242718446601942,0,0,0,0,0,0,2.76881720430108,0,0,0,0,0,0,0,0.714285714285715,2.52007728982999,0,0,0,0.357142857142857,23.5760084680534,28.3380904961139,0,1.91400832177531,0,0,0,0,0,0,0,0,0,0,4.09228520722414,0,0.53763440860215,0,0,11.817,-66.94
"Los Roques","Cote","Insular","West",0,0,7.5013638843426,0,0,0,0,0,0,0.32051282051282,9.23583508689893,0,1.51215805471125,0,0,3.19148936170212,0,0,1.53008339178552,0.26595744680851,5.3156418050035,0,0,9.93297482659184,5.59679682020108,34.9064765022212,0,0.531914893617022,0,0,19.8016522484608,0,0,0,0.357142857142857,0,0,0,0,0,0,0,0,11.773,-66.721
"Los Roques","Dos Mosquises","Insular","West",0,0,22.5974025974026,0.227272727272727,0,0,0.229357798165138,0,0,0,0.18939393939394,0,1.78571428571428,0,0,0.357142857142857,0,0,0,12.6249553199094,0,0,0,0,21.8181818181818,37.1136165058183,0,0,0,0,0.877467333889352,0.227272727272727,0,0,0.458715596330275,1.13636363636364,0,0,0.357142857142857,0,0,0,0,11.793,-66.896
"Los Roques","La Venada","Insular","West",97.9836137417408,0,0,0,0,0,0,0.233644859813084,0,0,0,0,0.471698113207548,0,0,0,0,0.36764705882353,0.943396226415095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.879,-66.724
"Los Roques","Las Salinas","Insular","West",0,0,0,0,0,0,0,0,0,0,3.07017543859649,0,10.401836075777,0,0,0,0,0,1.51515151515151,1.31578947368421,10.1013342669312,0,0.757575757575757,14.5437040494807,1.31578947368421,29.5687944917727,0,0,0,0.757575757575757,24.7982067141246,0,0,0,0.43859649122807,0,0,0,0,1.41547049441786,0,0,0,11.74,-66.807
"Los Roques","Madriski","Insular","West",0,0,0,0,0,0,0,8.6121836121836,0,0,12.2120334620335,0,0,0,1.74418604651163,0,0.58139534883721,1.92567567567567,0,20.6680933425119,0,0,0,8.75,0,37.6549888759191,1.35135135135135,0,0,0,0,0,0,0,2.5,0,0,1.25,0,0,2.750092284976,0,0,11.94,-66.661
"Los Roques","Rabuski","Insular","West",0,0,0,0,0,0,0,1.88614586133265,0,0,0,0,0.164473684210526,0.164473684210526,0,0,0,0,0.276243093922653,4.56206443485954,0,0,0,0,7.57946096043554,81.9216254605157,0,2.96052631578947,0,0,0.32051282051282,0,0,0,0,0,0,0,0,0.164473684210526,0,0,0,11.882,-66.689
"Mochima","Blanca","Continental","East",0,0,0,0,0,0,0,0,3.85225885225885,1.15384615384615,1.19487538605186,0,23.7299791711557,0,0,0,0,0,0,59.2235868706457,0,0,1.64835164835165,6.41187244128419,0,0,0,0,0,0.274725274725275,1.20879120879121,0,0,0.54945054945055,0.752262443438915,0,0,0,0,0,0,0,0,10.394,-64.335
"Mochima","Carabela","Continental","East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.387,-64.375
"Mochima","Gabarra","Continental","East",0,0,0,0,0,0,0,0,0,0,1.78571428571428,0,58.3694083694084,0,0,0,0,0,0,22.3124098124098,0,0,0,0,0,0,0,0,0,0,15.2597402597403,0,0,2.27272727272727,0,0,0,0,0,0,0,0,0,10.382,-64.338
"Mochima","Garrapata","Continental","East",0,0,0,0,0,0,0,0,0.423728813559323,0,1.03164563661769,0,30.1384770773423,0,0,0,0,0,0,47.7129485331954,0,0,0,18.2088639288131,0,1.27118644067796,0,0,0,0,0.92905866070333,0,0,0,0.28409090909091,0,0,0,0,0,0,0,0,10.381,-64.338
"Mochima","Punta Cruz","Continental","East",0,0,0,0,0,0,0,0,20.7142857142857,0,0,0,21.3095238095238,0,0,0,0,0,0,12.5432900432901,0,0,0,31.7965367965368,0,0,0,0,0,0,13.6363636363636,0,0,0,0,0,0,0,0,0,0,0,0,10.396,-64.368
"Mochima","San Agustin","Continental","East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.382,-64.347
"Morrocoy","Bajo Caiman","Continental","West",0,0,0,0,0,0,2.5,0,0,0,29.1666666666667,0,0,0,0,0,0,0,0,17.8571428571429,0,0,0,0,8.57142857142857,41.9047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.851,-68.069
"Morrocoy","Boca Seca","Continental","West",0,0,0,0,0,1.5625,0,1.5625,0,0,18.2291666666667,0,5.20833333333333,0,0,0,0,0,18.75,12.5,0,0,0,0,0,33.8541666666667,0,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,10.834,-68.237
"Morrocoy","Medio","Continental","West",0,0,0,11.9565217391304,0,0,0,4.19377811094454,0,0,0,0,0.166666666666667,0.166666666666667,2.1231884057971,1.8595041322314,0,0,0.599575212393803,0.619834710743802,0,0,0,0,0,78.1076527851776,0,0,0,0,0,0,0,0,0,0,0,0,0.206611570247934,0,0,0,0,10.742,-68.236
"Morrocoy","Mero","Continental","West",0,0,1.38888888888889,0,0,11.3888888888889,0,0,0,0,25.5448717948718,0,0.694444444444445,0,0,0,0,1.92307692307692,1.92307692307692,19.1239316239316,0,0,0,0,0,6.38888888888889,0,0,0,0,5.92948717948718,0,0,0,0,0,0,0,0.694444444444445,0,0,0,0,10.82,-68.248
