"latitude","longitude","InsularCoast","Laguna.d","Puerto.d","Rio.d","Afluente.Seco.d","Petroleo.d","Poblado.d","AbsorCoeffPhytoplank.Q3","AbsorCoeffNonAlgalMat.Median","ChlorophyllaConcent.Mean","PhotosyntheticRadiation.Q3","RemoteReflectance.Mean","SSTemperatureDay.Mean","SSTemperatureNight.Mean","SSTemperatureNight.Kurtosis","SeaLevelPreassure.Skewness","SeaSaltColumnDensity.Mean","SeaSaltColumnDensity.Sd","TwoMAirTemperature.Mean","SeaSaltConcentration.Mean","CarbonDioxide.Q1","CarbonDioxide.Skewness","MethaneNight.Median","MethaneNight.Q3","MethaneDay.Kurtosis","IncidentShortwave.Max","IncommingShortwave.Max","speed.cm.s.min"
10.1,-64.7,"Continental",38.507,13.942,4.078,76.666,16.032,4.559,39.7756,108.4405,331.1327,50.2079,0.3142,24.9947,23.7517,-1.6547,-0.5101,10.3361,13.9208,2.9867,10.9932,3.975,-3.8941,1.8205,1.8253,12.6578,2.88,2.879,20.06
10.1,-64.8,"Continental",27.636,5.187,5.924,85.12,8.653,6.63,49.9762,125.9,380.2064,52.948,0.3577,24.6301,23.5353,-1.4095,-0.5101,10.3361,13.9209,2.9867,10.9932,3.975,-3.8941,1.8205,1.8253,12.6578,2.88,2.879,20.06
10.1,-64.9,"Continental",16.865,8.857,16.808,94.087,4.107,15.675,44.4571,88.709,344.5274,52.9596,0.3613,24.6901,23.4708,-1.2981,-0.5101,10.3361,13.9208,2.9867,10.9932,3.975,-3.8941,1.8205,1.8253,12.6578,2.88,2.879,20.06
10.1,-65,"Insular",6.694,19.226,20.207,120,14.091,6.402,31.62,63.1,246.8314,52.6672,0.3743,25.5111,23.6728,-1.5342,0.6622,28.3668,21.3958,2.9957,35.3457,3.975,-3.8941,1.82,1.8246,0.64,2.88,2.879,20.06
10.1,-65,"Continental",6.694,19.226,20.207,120,14.091,6.402,31.62,63.1,246.8314,52.6672,0.3743,25.5111,23.6728,-1.5342,0.6622,28.3668,21.3958,2.9957,35.3457,3.975,-3.8941,1.82,1.8246,0.64,2.88,2.879,20.06
10.1,-65.1,"Insular",6.7,30.008,9.289,120,24.899,8.717,55.23,63.1,321.617,54.3354,0.4266,25.0675,23.4247,-1.3962,0.6622,28.3668,21.3958,2.9957,35.3457,3.975,-3.8941,1.8177,1.8253,-0.6976,2.88,2.879,20.06
10.1,-65.1,"Continental",6.7,30.008,9.289,120,24.899,8.717,55.23,63.1,321.617,54.3354,0.4266,25.0675,23.4247,-1.3962,0.6622,28.3668,21.3958,2.9957,35.3457,3.975,-3.8941,1.8177,1.8253,-0.6976,2.88,2.879,20.06
10.1,-65.2,"Continental",16.872,40.878,1.979,120,35.792,18.727,55.8976,69.8577,298.289,55.3604,0.3978,24.6575,23.2862,-0.9703,0.6622,28.3668,21.3958,2.9957,35.3457,3.975,-3.8941,1.8177,1.8253,-0.6976,2.88,2.879,20.06
10.1,-65.2,"Insular",16.872,40.878,1.979,120,35.792,18.727,55.8976,69.8577,298.289,55.3604,0.3978,24.6575,23.2862,-0.9703,0.6622,28.3668,21.3958,2.9957,35.3457,3.975,-3.8941,1.8177,1.8253,-0.6976,2.88,2.879,20.06
10.2,-64.4,"Continental",43.227,18.081,9.767,46.85,23.25,9.406,12.6975,50.7479,289.8326,49.7782,0.1977,25.4476,22.7964,1.6988,-0.5101,10.3361,13.9208,2.9867,10.9932,3.975,-3.8941,1.8205,1.8253,12.6578,2.88,2.879,999
