"latitude","longitude","ChlorophyllaConcent.Mean","RemoteReflectance.Mean","SSTemperatureDay.Mean","SeaSaltColumnDensity.Mean","Confiable","Ecosystem"
10.1,-64.7,331.1327,0.3142,24.9947,10.3361,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.1,-64.8,380.2064,0.3577,24.6301,10.3361,TRUE,"Cominoto-La Pecha"
10.1,-64.9,344.5274,0.3613,24.6901,10.3361,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.1,-65,246.8314,0.3743,25.5111,28.3668,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.1,-65,246.8314,0.3743,25.5111,28.3668,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.1,-65.1,321.617,0.4266,25.0675,28.3668,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.1,-65.1,321.617,0.4266,25.0675,28.3668,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.1,-65.2,298.289,0.3978,24.6575,28.3668,TRUE,"San Agustin-Carabela"
10.1,-65.2,298.289,0.3978,24.6575,28.3668,TRUE,"San Agustin-Carabela"
10.2,-64.4,289.8326,0.1977,25.4476,10.3361,FALSE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.2,-64.5,345.5232,0.2033,27.14,10.3361,FALSE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.2,-64.6,304.1827,0.2344,27.14,10.3361,FALSE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.2,-64.6,304.1827,0.2344,27.14,10.3361,FALSE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.2,-64.7,365.0665,0.2799,24.3549,10.3361,TRUE,"Cominoto-La Pecha"
10.2,-64.7,365.0665,0.2799,24.3549,10.3361,TRUE,"Cominoto-La Pecha"
10.2,-64.8,263.5972,0.2696,24.1923,10.3361,TRUE,"Cominoto-La Pecha"
10.2,-64.8,263.5972,0.2696,24.1923,10.3361,TRUE,"Cominoto-La Pecha"
10.2,-64.9,164.8018,0.271,23.9314,10.3361,TRUE,"Cominoto-La Pecha"
10.2,-65,121.8776,0.3292,23.9314,28.3668,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.3,-64.3,414.3718,0.1246,25.0743,6.7301,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.3,-64.4,316.2846,0.2089,24.0856,10.3361,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.3,-64.4,316.2846,0.2089,24.0856,10.3361,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.3,-64.5,201.9878,0.3,24.1868,10.3361,TRUE,"Cominoto-La Pecha"
10.3,-64.5,201.9878,0.3,24.1868,10.3361,TRUE,"Cominoto-La Pecha"
10.3,-64.6,269.0504,0.25,23.9409,10.3361,TRUE,"Cominoto-La Pecha"
10.4,-63.7,1065.4405,-0.0278,24.425,29.268,FALSE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.4,-63.8,843.9415,0.017,23.4266,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.4,-63.9,739.98,0.022,24.4899,25.6621,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.4,-64,739.98,0,23.7047,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.4,-64.1,581.6262,-0.0302,23.8681,25.6621,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.4,-64.2,385.4844,0.0699,27.14,25.6621,FALSE,"Cote-Guabinitas-Cienaga interno-Las Salinas-Cienaga oeste-Garrapata"
10.4,-64.3,811.8306,0.075,23.6966,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.4,-64.3,811.8306,0.075,23.6966,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.4,-64.4,382.5892,0.2286,23.3173,27.7848,TRUE,"San Agustin-Carabela"
10.4,-64.4,382.5892,0.2286,23.3173,27.7848,TRUE,"San Agustin-Carabela"
10.5,-63.7,945.0549,-0.0022,25.7825,29.268,FALSE,"Cote-Guabinitas-Cienaga interno-Las Salinas-Cienaga oeste-Garrapata"
10.5,-63.8,1065.4405,-0.0278,23.1334,25.6621,FALSE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.5,-63.8,1065.4405,-0.0278,23.1334,25.6621,FALSE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.5,-63.9,687.3219,0.0561,23.337,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.5,-63.9,687.3219,0.0561,23.337,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.5,-64,517.6438,0.0603,23.6312,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.5,-64,517.6438,0.0603,23.6312,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.5,-64.1,582.0183,-0.0091,23.5761,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.5,-64.1,582.0183,-0.0091,23.5761,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.5,-64.2,362.0373,-0.1222,23.593,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.5,-64.2,362.0373,-0.1222,23.593,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.5,-64.3,257.3139,0.1781,23.7411,25.6621,TRUE,"Cominoto-La Pecha"
10.5,-67.7,49.3448,0.4482,23.52,16.6467,FALSE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.5,-67.8,486.06,0.15,24.5955,16.6467,TRUE,"Cote-Guabinitas-Cienaga interno-Las Salinas-Cienaga oeste-Garrapata"
10.5,-67.9,209.9752,0.2584,25.1348,16.6467,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.5,-68,348.799,0.2421,25.4137,16.6467,TRUE,"Cote-Guabinitas-Cienaga interno-Las Salinas-Cienaga oeste-Garrapata"
10.5,-68.1,861.145,0.1237,25.8123,41.8899,FALSE,"Cote-Guabinitas-Cienaga interno-Las Salinas-Cienaga oeste-Garrapata"
10.5,-68.1,861.145,0.1237,25.8123,41.8899,FALSE,"Cote-Guabinitas-Cienaga interno-Las Salinas-Cienaga oeste-Garrapata"
10.5,-68.2,520.6774,0.152,27.14,41.8899,FALSE,"Cote-Guabinitas-Cienaga interno-Las Salinas-Cienaga oeste-Garrapata"
10.6,-63.7,583.6354,0.0724,23.7462,29.268,TRUE,"Cominoto-La Pecha"
10.6,-63.8,620.74,0.0788,23.1824,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.6,-63.8,620.74,0.0788,23.1824,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.6,-63.9,625.0913,0.039,23.6378,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.6,-63.9,625.0913,0.039,23.6378,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.6,-64,376.9494,-0.0727,28.7668,25.6621,FALSE,"Cote-Guabinitas-Cienaga interno-Las Salinas-Cienaga oeste-Garrapata"
10.6,-64,376.9494,-0.0727,28.7668,25.6621,FALSE,"Cote-Guabinitas-Cienaga interno-Las Salinas-Cienaga oeste-Garrapata"
10.6,-64.1,655.213,0.0021,32.57,25.6621,FALSE,"San Agustin-Carabela"
10.6,-64.1,655.213,0.0021,32.57,25.6621,FALSE,"San Agustin-Carabela"
10.6,-64.2,525.1685,0.081,24.6718,25.6621,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.6,-64.2,525.1685,0.081,24.6718,25.6621,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.6,-64.3,415.8506,0.0799,23.4039,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.6,-64.3,415.8506,0.0799,23.4039,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.6,-66.2,250.262,0.2712,24.1744,33.9677,TRUE,"Cote-Guabinitas-Cienaga interno-Las Salinas-Cienaga oeste-Garrapata"
10.6,-66.3,204.9364,0.2489,23.7462,31.973,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
