"latitude","longitude","speed.m.s.mean","direction.deg.t.mean"
11.95,-71.18,0.1,200
11.96,-71.17,0.1,200.287769784173
11.96,-71.16,0.1,200.575539568345
11.97,-71.17,0.1,200.863309352518
11.97,-71.18,0.1,201.151079136691
12,-71.2,0.1,201.438848920863
11.99,-71.2,0.1,201.726618705036
12,-71.21,0.1,202.014388489209
12,-71.22,0.1,202.302158273381
11.99,-71.22,0.1,202.589928057554
11.99,-71.21,0.1,202.877697841727
11.99,-71.23,0.1,203.165467625899
11.97,-71.2,0.1,203.453237410072
11.97,-71.21,0.1,203.741007194245
11.96,-71.21,0.1,204.028776978417
11.96,-71.2,0.1,204.31654676259
11.95,-71.2,0.1,204.604316546763
11.97,-71.22,0.1,204.892086330935
11.97,-71.23,0.1,205.179856115108
11.96,-71.23,0.1,205.467625899281
11.96,-71.22,0.1,205.755395683453
11.95,-71.22,0.1,206.043165467626
11.95,-71.23,0.1,206.330935251799
11.96,-71.26,0.1,206.618705035971
11.96,-71.25,0.1,206.906474820144
11.97,-71.25,0.1,207.194244604317
11.97,-71.26,0.1,207.482014388489
11.99,-71.25,0.1,207.769784172662
11.95,-71.25,0.1,208.057553956835
11.94,-71.25,0.1,208.345323741007
11.95,-71.26,0.1,208.63309352518
11.95,-71.27,0.1,208.920863309353
11.95,-71.28,0.1,209.208633093525
11.96,-71.28,0.1,209.496402877698
11.96,-71.27,0.1,209.784172661871
11.94,-71.26,0.1,210.071942446043
11.92,-71.25,0.1,210.359712230216
11.91,-71.26,0.1,210.647482014388
11.94,-71.27,0.1,210.935251798561
11.94,-71.28,0.1,211.223021582734
11.95,-71.3,0.1,211.510791366906
11.94,-71.3,0.1,211.798561151079
11.9,-71.27,0.1,212.086330935252
11.91,-71.28,0.1,212.374100719424
11.92,-71.28,0.1,212.661870503597
11.92,-71.27,0.1,212.94964028777
11.94,-71.31,0.1,213.237410071942
11.94,-71.32,0.1,213.525179856115
11.95,-71.31,0.1,213.812949640288
11.92,-71.3,0.1,214.10071942446
11.92,-71.31,0.1,214.388489208633
11.92,-71.32,0.1,214.676258992806
11.92,-71.33,0.1,214.964028776978
11.91,-71.32,0.1,215.251798561151
11.91,-71.31,0.1,215.539568345324
11.91,-71.3,0.1,215.827338129496
11.9,-71.3,0.1,216.115107913669
11.88,-71.28,0.1,216.402877697842
11.91,-71.33,0.1,216.690647482014
11.9,-71.31,0.1,216.978417266187
11.9,-71.32,0.1,217.26618705036
11.9,-71.33,0.1,217.553956834532
11.9,-71.35,0.1,217.841726618705
11.88,-71.32,0.1,218.129496402878
11.88,-71.31,0.1,218.41726618705
11.87,-71.3,0.1,218.705035971223
11.86,-71.3,0.1,218.992805755396
11.88,-71.35,0.1,219.280575539568
11.87,-71.35,0.1,219.568345323741
11.87,-71.36,0.1,219.856115107914
11.87,-71.33,0.1,220.143884892086
11.87,-71.32,0.1,220.431654676259
11.88,-71.33,0.1,220.719424460432
11.86,-71.33,0.1,221.007194244604
11.86,-71.31,0.1,221.294964028777
11.85,-71.31,0.1,221.58273381295
11.86,-71.35,0.1,221.870503597122
11.86,-71.36,0.1,222.158273381295
11.85,-71.36,0.1,222.446043165468
11.81,-71.35,0.2,222.73381294964
11.81,-71.36,0.2,223.021582733813
11.81,-71.37,0.2,223.309352517986
11.8,-71.37,0.2,223.597122302158
11.8,-71.36,0.2,223.884892086331
11.78,-71.36,0.2,224.172661870504
11.78,-71.37,0.2,224.460431654676
11.8,-71.39,0.2,224.748201438849
11.77,-71.37,0.2,225.035971223022
