"latitude","longitude","localidad"
10.902,-68.413,"Morrocoy"
10.89,-68.413,"Morrocoy"
10.877,-68.413,"Morrocoy"
10.928,-68.4,"Morrocoy"
10.915,-68.4,"Morrocoy"
10.902,-68.4,"Morrocoy"
10.89,-68.4,"Morrocoy"
10.877,-68.4,"Morrocoy"
10.864,-68.4,"Morrocoy"
10.941,-68.387,"Morrocoy"
10.928,-68.387,"Morrocoy"
10.915,-68.387,"Morrocoy"
10.902,-68.387,"Morrocoy"
10.89,-68.387,"Morrocoy"
10.877,-68.387,"Morrocoy"
10.864,-68.387,"Morrocoy"
10.851,-68.387,"Morrocoy"
10.941,-68.374,"Morrocoy"
10.928,-68.374,"Morrocoy"
10.915,-68.374,"Morrocoy"
10.902,-68.374,"Morrocoy"
10.89,-68.374,"Morrocoy"
10.877,-68.374,"Morrocoy"
10.864,-68.374,"Morrocoy"
10.851,-68.374,"Morrocoy"
10.839,-68.374,"Morrocoy"
10.941,-68.362,"Morrocoy"
10.928,-68.362,"Morrocoy"
10.915,-68.362,"Morrocoy"
10.902,-68.362,"Morrocoy"
10.89,-68.362,"Morrocoy"
10.877,-68.362,"Morrocoy"
10.864,-68.362,"Morrocoy"
10.851,-68.362,"Morrocoy"
10.839,-68.362,"Morrocoy"
10.941,-68.349,"Morrocoy"
10.928,-68.349,"Morrocoy"
10.915,-68.349,"Morrocoy"
10.902,-68.349,"Morrocoy"
10.89,-68.349,"Morrocoy"
10.877,-68.349,"Morrocoy"
10.864,-68.349,"Morrocoy"
10.851,-68.349,"Morrocoy"
10.839,-68.349,"Morrocoy"
10.826,-68.349,"Morrocoy"
10.813,-68.349,"Morrocoy"
10.801,-68.349,"Morrocoy"
10.788,-68.349,"Morrocoy"
10.775,-68.349,"Morrocoy"
10.915,-68.336,"Morrocoy"
10.902,-68.336,"Morrocoy"
10.89,-68.336,"Morrocoy"
10.877,-68.336,"Morrocoy"
10.864,-68.336,"Morrocoy"
10.851,-68.336,"Morrocoy"
10.839,-68.336,"Morrocoy"
10.826,-68.336,"Morrocoy"
10.813,-68.336,"Morrocoy"
10.801,-68.336,"Morrocoy"
10.788,-68.336,"Morrocoy"
10.775,-68.336,"Morrocoy"
10.877,-68.324,"Morrocoy"
10.864,-68.324,"Morrocoy"
10.851,-68.324,"Morrocoy"
10.839,-68.324,"Morrocoy"
10.826,-68.324,"Morrocoy"
10.813,-68.324,"Morrocoy"
10.801,-68.324,"Morrocoy"
10.788,-68.324,"Morrocoy"
10.775,-68.324,"Morrocoy"
10.877,-68.311,"Morrocoy"
10.864,-68.311,"Morrocoy"
10.851,-68.311,"Morrocoy"
10.839,-68.311,"Morrocoy"
10.826,-68.311,"Morrocoy"
10.813,-68.311,"Morrocoy"
10.801,-68.311,"Morrocoy"
10.788,-68.311,"Morrocoy"
10.775,-68.311,"Morrocoy"
10.877,-68.298,"Morrocoy"
10.864,-68.298,"Morrocoy"
10.851,-68.298,"Morrocoy"
10.839,-68.298,"Morrocoy"
10.826,-68.298,"Morrocoy"
10.813,-68.298,"Morrocoy"
10.801,-68.298,"Morrocoy"
10.788,-68.298,"Morrocoy"
10.775,-68.298,"Morrocoy"
10.762,-68.298,"Morrocoy"
10.89,-68.285,"Morrocoy"
10.877,-68.285,"Morrocoy"
10.864,-68.285,"Morrocoy"
10.851,-68.285,"Morrocoy"
10.839,-68.285,"Morrocoy"
10.826,-68.285,"Morrocoy"
10.813,-68.285,"Morrocoy"
10.801,-68.285,"Morrocoy"
10.788,-68.285,"Morrocoy"
10.775,-68.285,"Morrocoy"
10.762,-68.285,"Morrocoy"
11.004,-68.273,"Morrocoy"
10.992,-68.273,"Morrocoy"
10.979,-68.273,"Morrocoy"
10.966,-68.273,"Morrocoy"
10.953,-68.273,"Morrocoy"
10.941,-68.273,"Morrocoy"
10.928,-68.273,"Morrocoy"
10.915,-68.273,"Morrocoy"
10.902,-68.273,"Morrocoy"
10.89,-68.273,"Morrocoy"
10.877,-68.273,"Morrocoy"
10.864,-68.273,"Morrocoy"
10.851,-68.273,"Morrocoy"
10.839,-68.273,"Morrocoy"
10.826,-68.273,"Morrocoy"
10.813,-68.273,"Morrocoy"
10.801,-68.273,"Morrocoy"
10.788,-68.273,"Morrocoy"
10.775,-68.273,"Morrocoy"
10.762,-68.273,"Morrocoy"
11.004,-68.26,"Morrocoy"
10.992,-68.26,"Morrocoy"
10.979,-68.26,"Morrocoy"
10.966,-68.26,"Morrocoy"
10.953,-68.26,"Morrocoy"
10.941,-68.26,"Morrocoy"
10.928,-68.26,"Morrocoy"
10.915,-68.26,"Morrocoy"
10.902,-68.26,"Morrocoy"
10.89,-68.26,"Morrocoy"
10.877,-68.26,"Morrocoy"
10.864,-68.26,"Morrocoy"
